state,x,y
jammu and kashmir,-100,204
himachal pradesh,-79,163
punjab,-100,146
haryana,-89,120
rajasthan,-131,80
uttaranchal,-46,136
uttar pradesh,-37,87
delhi,-79,133
bihar,42,70
west bengal,71,30
sikkim,83,99
assam,148,75
meghalaya,124,65
arunachal pradesh,178,116
nagaland,173,79
manipur,160,55
mizoram,150,34
jharkhand,37,31
orrisa,27,-11
chhattisgarh,-15,-2
madhya pradesh,-71,29
gujarat,-165,27
maharastra,-109,-29
telangana,-51,-55
andhra pradesh,-52,-97
karantaka,-101,-109
kerala,-92,-166
tamil nadu,-64,-162
